,log_revenue
2754,17.373091610187423
3004,16.300417291085605
1050,17.32392953240539
907,18.443971222792964
1374,17.10323027255553
1831,17.705348361618505
3606,11.1490532541604
1159,17.9602313433593
308,19.654615619681344
3099,17.761970013037892
1078,18.965115028105572
443,17.60760074109976
1592,17.155396880182252
2858,16.440306388409113
2597,17.761970013037892
186,20.426959492809576
1897,19.089883823841983
1793,17.866764373437423
1109,19.434645056960065
430,19.238243184930703
1276,19.54163078690228
1510,18.8664366078985
1204,18.764765793723765
1965,18.797700402545097
1087,16.223444006542213
511,18.395803382546983
3496,17.761970013037892
3224,17.41583187583665
3356,16.860033043306743
764,18.60446199321006
529,19.310216742626164
2481,17.971787905591434
1928,17.216681739283203
3530,16.16147281026287
604,19.725957569074613
1770,18.992789601778597
493,16.09381371652813
1764,15.114357992711216
545,15.175863839983704
3716,16.811242881518265
1763,19.479677577300087
2513,17.78523655669983
631,18.504640588081223
3831,17.761970013037892
1903,17.92432683133892
919,17.61557345156137
666,19.554240336084877
3019,17.774885245823864
2334,17.607677786090477
3101,16.644608740463617
2101,19.29450734624021
1925,16.7328683940079
3565,17.911064338786787
727,16.9534849999362
1543,18.040436425997413
2067,16.893871899369287
3519,15.86963441986494
1368,18.888283543511516
3568,16.481013805437104
866,17.95885608753208
500,18.471382451386855
3010,16.71276209580932
551,19.854934957962
3308,16.862366176465226
3622,15.087133973348548
153,20.35900991702936
44,20.09393911477868
2808,16.131011974941543
3779,14.856785710940285
809,17.26001963227459
82,19.814869221880382
3253,16.213405921671733
970,17.761970013037892
1385,18.236285859298867
244,16.98834780557324
271,17.826442460040603
475,19.31649022767929
1630,15.76142084987672
3228,16.462395316032616
1165,18.233943287409083
3312,17.761970013037892
1124,17.761970013037892
1457,18.1424926209999
897,18.923485208057233
806,18.9688021582424
2564,17.761970013037892
2447,12.053859254613032
539,17.384637791975155
2854,15.537689304383212
3838,9.112727543109182
1262,18.497641794347754
1089,19.138519010272248
449,16.522226936587312
541,18.66651983210116
2216,17.555408810045066
1799,19.051335351661123
1817,17.690229477934274
326,18.50029033015003
1397,18.80047856079185
3766,17.761970013037892
3593,17.761970013037892
2984,17.761016384746128
3108,15.429892826897351
1380,18.263054601696076
2830,17.80407323798836
3123,15.566780963355614
1058,15.955576839107596
3729,13.556091950785351
3855,13.910821646859096
2432,13.168315231666112
871,18.260132107446047
1981,16.775312239974124
1395,17.03127105523471
2911,16.213405921671733
3188,13.343150554648505
3786,10.714439990727769
1265,17.761970013037892
3761,17.761970013037892
1249,19.063650396899124
1093,18.624140147351437
2620,15.72344317508193
899,19.520019498680096
3866,17.761970013037892
3404,16.735181753294004
406,18.615122116498355
564,18.846491488763156
949,19.31931185457173
2777,17.54920437846555
510,19.51719110845815
1030,18.769749594764303
338,18.30783257677803
1074,18.54295926862797
2387,17.72889885096305
3546,17.255271930774757
1235,18.32030786930806
2947,16.511646532365
2779,18.143366644502063
3163,17.761970013037892
3579,17.761970013037892
801,18.93831593191957
3064,16.660473777543814
927,17.816902986338455
2069,17.816788263915836
868,18.668381429411863
2531,16.06466523244168
1047,17.69855781174384
3059,14.939407479066372
1632,19.65235266898551
2576,17.801349218539976
464,19.206485753578583
112,18.978010028401325
